,subject1,verb1,object1,subject2,verb2,object2,score,range
0,agent,sell,property,father,buy,home,0.7462374581939799,1.9641047604141237
1,agent,sell,property,parent,buy,home,0.7198996655518394,2.0186873988384755
2,agent,sell,property,company,hold,meeting,0.5874125874125874,1.7970635017820682
3,agent,sell,property,court,hold,meeting,0.6225961538461539,1.9981875845846917
4,agent,sell,property,father,buy,home,0.8352272727272728,1.9345346320043593
5,agent,sell,property,parent,buy,home,0.7550167224080268,1.9590672944112004
6,agent,sell,property,company,hold,meeting,0.5530936454849499,2.093656898702881
7,agent,sell,property,court,hold,meeting,0.5882107023411371,1.8565129453374498
8,author,write,book,corporation,buy,land,0.47956730769230765,1.8606333657491823
9,author,write,book,investor,buy,land,0.5004180602006688,1.9038135226050252
10,author,write,book,audience,hear,word,0.6057692307692307,1.906925178491185
11,author,write,book,listener,hear,word,0.65625,1.9836286468731117
12,author,write,book,reader,read,word,0.7434440559440559,1.8615498825892272
13,author,write,book,teacher,read,word,0.7198996655518394,1.9499670616453952
14,author,write,book,corporation,buy,land,0.5096153846153846,2.0400746951777924
15,author,write,book,investor,buy,land,0.48285953177257523,1.827545060625483
16,author,write,book,audience,hear,word,0.640886287625418,2.01476761378314
17,author,write,book,listener,hear,word,0.7023411371237458,1.8307863491206402
18,author,write,book,reader,read,word,0.7462374581939799,1.9871126291155499
19,author,write,book,teacher,read,word,0.7023411371237458,1.9970333729034468
20,case,require,attention,business,pay,price,0.5004180602006688,1.6200326937607632
21,case,require,attention,taxpayer,pay,price,0.541520979020979,1.886956825315847
22,case,require,attention,child,need,treatment,0.6899038461538461,2.104171150805955
23,case,require,attention,family,need,treatment,0.6233277591973244,1.8808374217658008
24,case,require,attention,business,pay,price,0.5323426573426573,1.9406786870148716
25,case,require,attention,taxpayer,pay,price,0.5598776223776224,2.0220644373373933
26,case,require,attention,child,need,treatment,0.7286789297658862,2.147707666639916
27,case,require,attention,family,need,treatment,0.7250874125874125,2.2180877845372615
28,charity,help,people,board,discuss,issue,0.6672240802675585,1.917260892018413
29,charity,help,people,committee,discuss,issue,0.6760033444816054,1.8975749033526956
30,charity,help,people,campaign,encourage,child,0.6983173076923077,1.9105921382756132
31,charity,help,people,parent,encourage,child,0.6057692307692307,1.834021909257456
32,charity,help,people,board,discuss,issue,0.6496655518394648,1.8818878755878592
33,charity,help,people,committee,discuss,issue,0.5530936454849499,1.789296238096974
34,charity,help,people,campaign,encourage,child,0.693561872909699,1.8046930475976881
35,charity,help,people,parent,encourage,child,0.7067307692307692,1.8650096164806276
36,committee,consider,matter,board,discuss,issue,0.984375,1.962972457668527
37,committee,consider,matter,committee,discuss,issue,0.8954849498327759,1.9960435173913815
38,committee,consider,matter,paper,pose,problem,0.7067307692307692,2.043015673820997
39,committee,consider,matter,question,pose,problem,0.7198996655518394,2.0410800829801707
40,committee,consider,matter,board,discuss,issue,0.9134615384615384,1.96517295979381
41,committee,consider,matter,committee,discuss,issue,1.0,1.883512423006296
42,committee,consider,matter,paper,pose,problem,0.8076923076923077,1.7182493859684491
43,committee,consider,matter,question,pose,problem,0.7374581939799331,2.013786475369086
44,commodity,meet,requirement,project,help,people,0.6608391608391608,2.0972049013552296
45,commodity,meet,requirement,volunteer,help,people,0.6516608391608391,1.998375964003394
46,commodity,meet,requirement,project,help,people,0.6847826086956521,2.0391426548425735
47,commodity,meet,requirement,volunteer,help,people,0.6057692307692307,2.0225995873897267
48,company,provide,system,company,use,power,0.7111204013377926,1.927541184971892
49,company,provide,system,people,use,power,0.6847826086956521,2.2102885544813256
50,company,provide,system,company,use,power,0.7403846153846153,1.857222485950146
51,company,provide,system,people,use,power,0.7813545150501672,2.1384860368130227
52,company,suffer,loss,incident,cause,injury,0.693561872909699,2.018687398838475
53,company,suffer,loss,storm,cause,injury,0.6516608391608391,1.9983759640033938
54,company,suffer,loss,incident,cause,injury,0.6791958041958042,1.7874018000453045
55,company,suffer,loss,storm,cause,injury,0.6516608391608391,1.7163587753985021
56,customer,pay,price,council,cut,cost,0.7159090909090908,2.0407111908602267
57,customer,pay,price,government,cut,cost,0.6225961538461539,1.8862584696941067
58,customer,pay,price,band,begin,career,0.5721153846153846,1.88048714009375
59,customer,pay,price,student,begin,career,0.5653846153846154,2.041671142136162
60,customer,pay,price,council,cut,cost,0.6646634615384615,2.053187694816265
61,customer,pay,price,government,cut,cost,0.6883741258741258,2.1965143579488218
62,customer,pay,price,band,begin,career,0.5721153846153846,2.180280529749738
63,customer,pay,price,student,begin,career,0.6153846153846153,2.060975266134712
64,delegate,buy,land,firm,sell,property,0.7374581939799331,1.9910868583440438
65,delegate,buy,land,owner,sell,property,0.834030100334448,1.9141660378748127
66,delegate,buy,land,father,leave,house,0.6145484949832776,2.142179452409184
67,delegate,buy,land,husband,leave,house,0.5231643356643356,1.8428521091243042
68,delegate,buy,land,firm,sell,property,0.7319711538461539,2.0175857290120396
69,delegate,buy,land,owner,sell,property,0.7342657342657343,2.012945118960786
70,delegate,buy,land,father,leave,house,0.6346153846153846,1.9820624179302297
71,delegate,buy,land,husband,leave,house,0.4956293706293706,1.7922391615298476
72,design,reduce,amount,council,cut,cost,0.7111204013377926,1.9038135226050255
73,design,reduce,amount,government,cut,cost,0.7980769230769231,2.108937895628756
74,design,reduce,amount,council,cut,cost,0.6923076923076923,1.9639610121239315
75,design,reduce,amount,government,cut,cost,0.7725752508361204,1.8501148345942668
76,doctor,use,test,child,pass,time,0.6424825174825174,1.8162327215148664
77,doctor,use,test,family,pass,time,0.6814903846153846,2.0390215044604543
78,doctor,use,test,child,pass,time,0.6057692307692307,1.7320508075688772
79,doctor,use,test,family,pass,time,0.6149475524475524,1.7855844108615222
80,drug,produce,effect,board,consider,matter,0.5721153846153846,1.9927404479142845
81,drug,produce,effect,panel,consider,matter,0.544314381270903,1.7693034738587656
82,drug,produce,effect,business,start,work,0.47956730769230765,1.7147062113681013
83,drug,produce,effect,team,start,work,0.44774247491638797,1.704446637451859
84,drug,produce,effect,board,consider,matter,0.5300480769230769,2.0602342627456967
85,drug,produce,effect,panel,consider,matter,0.6634615384615384,1.9784553859730356
86,drug,produce,effect,business,start,work,0.5091973244147158,2.0196661564226916
87,drug,produce,effect,team,start,work,0.5874125874125874,2.1360642693445726
88,employee,start,work,band,begin,career,0.7725752508361204,1.749082198625727
89,employee,start,work,student,begin,career,0.8867056856187291,1.6986393066425682
90,employee,start,work,band,begin,career,0.8834134615384615,1.9067956275430753
91,employee,start,work,student,begin,career,0.8691471571906353,1.844766124834248
92,family,receive,letter,council,collect,information,0.6975524475524475,1.920497770972851
93,family,receive,letter,student,collect,information,0.6700174825174825,2.032740670138381
94,family,receive,letter,council,collect,information,0.7550167224080268,1.9357261100482497
95,family,receive,letter,student,collect,information,0.7023411371237458,2.0860917180523204
96,father,stretch,arm,crowd,wave,hand,0.9002403846153845,1.9776834640705196
97,father,stretch,arm,referee,wave,hand,0.7992788461538461,1.8991798382383418
98,father,stretch,arm,crowd,wave,hand,0.8779264214046822,1.8975749033526952
99,father,stretch,arm,referee,wave,hand,0.7740384615384616,1.6061476099435992
100,firm,cause,injury,event,raise,head,0.5706521739130435,1.9920791768000377
101,firm,cause,injury,issue,raise,head,0.6634615384615384,1.9784553859730356
102,firm,cause,injury,event,raise,head,0.5004180602006688,1.7804382815218003
103,firm,cause,injury,issue,raise,head,0.5506993006993006,1.6670995108933298
104,force,win,battle,product,meet,requirement,0.5480769230769231,1.9784553859730356
105,force,win,battle,system,meet,requirement,0.6145484949832776,1.94184216355045
106,force,win,battle,child,play,game,0.6225961538461539,2.019829236576087
107,force,win,battle,team,play,game,0.65625,1.9167454300136626
108,force,win,battle,product,meet,requirement,0.640886287625418,1.9224079103855778
109,force,win,battle,system,meet,requirement,0.5874125874125874,1.9001025262836766
110,force,win,battle,child,play,game,0.544314381270903,1.7948102611467838
111,force,win,battle,team,play,game,0.7462374581939799,2.0545909260769615
112,gentleman,close,eye,player,stretch,arm,0.65625,1.9167454300136626
113,gentleman,close,eye,woman,stretch,arm,0.6394230769230769,1.6854019432007687
114,gentleman,close,eye,player,stretch,arm,0.693561872909699,1.9027751731835776
115,gentleman,close,eye,woman,stretch,arm,0.7235576923076923,2.0624313778658907
116,girl,like,people,change,increase,number,0.5267558528428093,2.0167284586402126
117,girl,like,people,development,increase,number,0.5048076923076923,2.0873770280289223
118,girl,like,people,council,collect,information,0.5706521739130435,1.9920791768000377
119,girl,like,people,student,collect,information,0.5231643356643356,1.893826836482176
120,girl,like,people,friend,ask,man,0.7235576923076923,2.041241452319315
121,girl,like,people,people,ask,man,0.7319711538461539,1.9740159904202355
122,girl,like,people,change,increase,number,0.6496655518394648,2.2754923890552177
123,girl,like,people,development,increase,number,0.5805288461538461,1.848912723973083
124,girl,like,people,council,collect,information,0.4680944055944056,1.7011582507043232
125,girl,like,people,student,collect,information,0.5355351170568561,1.921379609744801
126,girl,like,people,friend,ask,man,0.748798076923077,1.8761469921708918
127,girl,like,people,people,ask,man,0.6700174825174825,1.8096662053792616
128,government,use,power,court,exercise,influence,0.8954849498327759,1.9960435173913817
129,government,use,power,state,exercise,influence,0.8535839160839161,1.9255628288353015
130,government,use,power,court,exercise,influence,0.8168706293706294,2.0113315354397803
131,government,use,power,state,exercise,influence,0.8942307692307693,1.804755622554715
132,graduate,begin,career,economy,suffer,loss,0.4903846153846153,1.9123657749350298
133,graduate,begin,career,worker,suffer,loss,0.6057692307692307,2.04494943258218
134,graduate,begin,career,economy,suffer,loss,0.5889423076923076,1.9981875845846917
135,graduate,begin,career,worker,suffer,loss,0.5384615384615384,1.7110044511584588
136,group,hold,meeting,woman,lift,hand,0.6057692307692307,1.834021909257456
137,group,hold,meeting,wrestler,lift,hand,0.513986013986014,1.9934959177349658
138,group,hold,meeting,woman,lift,hand,0.4956293706293706,1.738287957055741
139,group,hold,meeting,wrestler,lift,hand,0.5300480769230769,1.7147062113681015
140,man,hear,word,author,remember,name,0.6233277591973244,1.9751419621766402
141,man,hear,word,friend,remember,name,0.6608391608391608,1.931735419668473
142,man,hear,word,author,remember,name,0.6424825174825174,2.0385887657505024
143,man,hear,word,friend,remember,name,0.6899038461538461,2.041241452319315
144,man,lift,hand,event,raise,head,0.6310096153846153,1.9181626172165271
145,man,lift,hand,issue,raise,head,0.6321070234113713,1.8902704911319617
146,man,lift,hand,event,raise,head,0.6496655518394648,1.8818878755878587
147,man,lift,hand,issue,raise,head,0.6646634615384615,1.8292114401439827
148,man,shut,door,chairman,close,eye,0.6310096153846153,1.7769661492702031
149,man,shut,door,employer,close,eye,0.6760033444816054,2.144945340523621
150,man,shut,door,section,provide,datum,0.5480769230769231,1.9011274850166453
151,man,shut,door,website,provide,datum,0.5323426573426573,1.9650628136199264
152,man,shut,door,tour,follow,road,0.4405594405594405,1.5927324121761748
153,man,shut,door,trail,follow,road,0.5216346153846154,1.8630658852422861
154,man,shut,door,chairman,close,eye,0.6496655518394648,1.857577154622519
155,man,shut,door,employer,close,eye,0.5889423076923076,1.909169331471644
156,man,shut,door,section,provide,datum,0.5530936454849499,2.1152560838809227
157,man,shut,door,website,provide,datum,0.43138111888111885,1.67034226733424
158,man,shut,door,tour,follow,road,0.5706521739130435,2.2084995711412816
159,man,shut,door,trail,follow,road,0.5355351170568561,1.849046330413549
160,man,wave,hand,student,leave,company,0.48645104895104896,1.8685133104535248
161,man,wave,hand,visitor,leave,company,0.4653010033444816,1.5502135515263593
162,man,wave,hand,business,start,work,0.5300480769230769,1.9740159904202357
163,man,wave,hand,team,start,work,0.5882107023411371,2.065144579536104
164,man,wave,hand,student,leave,company,0.47115384615384615,1.7362294645648622
165,man,wave,hand,visitor,leave,company,0.5552884615384616,1.9701723141310308
166,man,wave,hand,business,start,work,0.6225961538461539,2.165272684236664
167,man,wave,hand,team,start,work,0.546875,1.8528278426483
168,medication,achieve,result,combination,produce,effect,0.8603678929765887,2.1152560838809222
169,medication,achieve,result,plant,produce,effect,0.9637237762237761,1.743882318599951
170,medication,achieve,result,woman,lift,hand,0.45891608391608396,1.6954229190555594
171,medication,achieve,result,wrestler,lift,hand,0.5091973244147158,1.927541184971892
172,medication,achieve,result,player,reach,level,0.5618729096989966,1.9530051840719365
173,medication,achieve,result,pupil,reach,level,0.6145484949832776,1.8944478895773593
174,medication,achieve,result,combination,produce,effect,0.8444055944055944,2.038588765750502
175,medication,achieve,result,plant,produce,effect,0.7618006993006993,1.743882318599951
176,medication,achieve,result,woman,lift,hand,0.4916387959866221,1.7274807447031524
177,medication,achieve,result,wrestler,lift,hand,0.4653010033444816,1.8934044040178395
178,medication,achieve,result,player,reach,level,0.6672240802675585,1.8934044040178395
179,medication,achieve,result,pupil,reach,level,0.6983173076923077,1.910592138275613
180,member,attend,conference,law,require,attention,0.6584448160535117,1.9121000188832797
181,member,attend,conference,process,require,attention,0.6478365384615384,2.021174145771767
182,member,attend,conference,company,hold,meeting,0.8515886287625418,2.2554282346683365
183,member,attend,conference,court,hold,meeting,0.9170673076923077,2.105462185481552
184,member,attend,conference,customer,share,interest,0.6424825174825174,1.8422647458873531
185,member,attend,conference,organisation,share,interest,0.693561872909699,1.9027751731835776
186,member,attend,conference,law,require,attention,0.5673076923076923,2.0154167712671147
187,member,attend,conference,process,require,attention,0.6057692307692307,2.195035721390843
188,member,attend,conference,company,hold,meeting,0.826048951048951,1.8233692233542076
189,member,attend,conference,court,hold,meeting,0.8177884615384615,1.7910596686995397
190,member,attend,conference,customer,share,interest,0.6516608391608391,1.9006720160390933
191,member,attend,conference,organisation,share,interest,0.5598776223776224,1.6883866117241486
192,member,express,view,economy,suffer,loss,0.5973557692307693,2.0103896803024695
193,member,express,view,worker,suffer,loss,0.6149475524475524,2.103902784447733
194,member,express,view,group,achieve,end,0.6478365384615384,1.7932037558919307
195,member,express,view,school,achieve,end,0.6730769230769231,2.1196116680157258
196,member,express,view,economy,suffer,loss,0.5530936454849499,1.9821336370034972
197,member,express,view,worker,suffer,loss,0.513986013986014,2.0407111908602262
198,member,express,view,group,achieve,end,0.6826923076923077,1.9868616075658234
199,member,express,view,school,achieve,end,0.6538461538461539,1.7861904127153385
200,mother,leave,house,father,buy,home,0.7198996655518394,1.9731397903876622
201,mother,leave,house,parent,buy,home,0.6883741258741258,2.1304837570282107
202,mother,leave,house,campaign,encourage,child,0.5216346153846154,1.954185400546771
203,mother,leave,house,parent,encourage,child,0.6057692307692307,1.851640199545103
204,mother,leave,house,father,buy,home,0.6672240802675585,2.1199224387333278
205,mother,leave,house,parent,buy,home,0.6847826086956521,2.0391426548425735
206,mother,leave,house,campaign,encourage,child,0.5004180602006688,1.5036188231122245
207,mother,leave,house,parent,encourage,child,0.5300480769230769,1.8132963018384145
208,page,provide,datum,player,reach,level,0.5706521739130435,1.8986160967936496
209,page,provide,datum,pupil,reach,level,0.5889423076923076,1.9091693314716436
210,page,provide,datum,player,reach,level,0.5889423076923076,2.1852602405298507
211,page,provide,datum,pupil,reach,level,0.5673076923076923,2.11232212550661
212,panel,discuss,issue,document,present,problem,0.782451923076923,2.1531069562883753
213,panel,discuss,issue,work,present,problem,0.7989130434782608,1.8944478895773593
214,panel,discuss,issue,document,present,problem,0.7725752508361204,2.2084995711412816
215,panel,discuss,issue,work,present,problem,0.8329326923076923,1.8012676695569996
216,paper,address,question,document,present,problem,0.8076923076923077,1.9999999999999998
217,paper,address,question,work,present,problem,0.8245192307692307,2.104171150805955
218,paper,address,question,paper,pose,problem,0.798513986013986,1.863873915807068
219,paper,address,question,question,pose,problem,0.8719405594405595,1.6729319468230914
220,paper,address,question,document,present,problem,0.8076923076923077,2.088931871468374
221,paper,address,question,work,present,problem,0.9591346153846153,1.8708286933869709
222,paper,address,question,paper,pose,problem,0.834030100334448,2.029427770357648
223,paper,address,question,question,pose,problem,0.8252508361204014,1.7032867552913655
224,parent,set,example,centre,provide,system,0.6516608391608391,1.9744033018277694
225,parent,set,example,university,provide,system,0.5874125874125874,1.9250007027603147
226,parent,set,example,centre,provide,system,0.5794314381270903,1.8415494421345537
227,parent,set,example,university,provide,system,0.6608391608391608,2.164251067686622
228,patient,need,treatment,centre,offer,support,0.5506993006993006,1.7506955945952067
229,patient,need,treatment,site,offer,support,0.6145484949832776,2.0775479618042123
230,patient,need,treatment,researcher,use,method,0.5769230769230769,1.8244372909397104
231,patient,need,treatment,teacher,use,method,0.5882107023411371,1.8565129453374498
232,patient,need,treatment,centre,offer,support,0.5969899665551839,1.8703004345331848
233,patient,need,treatment,site,offer,support,0.6424825174825174,1.8162327215148664
234,patient,need,treatment,researcher,use,method,0.6333041958041957,1.8592229443264616
