annotator s1w1 s1w2 s1w3 s1w4 s1w5 s1w6 s1w7 s2w1 s2w2 s2w3 s2w4 s2w5 s2w6 s2w7 score
participant2 patient need treatment and child does too programme offer support and site does too 3
participant2 man shut door and police does too route follow road and trail does too 4
participant2 graduate begin career and band does too company suffer loss and economy does too 5
participant2 author write book and historian does too writer read word and teacher does too 7
participant2 researcher develop technique and university does too government use power and company does too 3
participant2 page provide datum and website does too student reach level and player does too 7
participant2 wife pour tea and man does too woman drink water and girl does too 5
participant2 customer pay price and taxpayer does too graduate begin career and band does too 7
participant2 physician pass time and child does too road cross line and bridge does too 7
participant2 people play game and child does too worker join party and professional does too 5
participant2 man shut door and activist does too page provide datum and website does too 7
participant2 customer pay price and business does too graduate begin career and student does too 7
participant2 paper address question and project does too project present problem and work does too 6
participant2 pupil use knowledge and child does too authority exercise influence and court does too 5
participant2 delegate buy land and investor does too agent sell property and firm does too 6
participant2 medication achieve result and patient does too student reach level and player does too 4
participant2 people share interest and customer does too authority exercise influence and court does too 5
participant2 commodity meet requirement and system does too charity help people and volunteer does too 5
participant2 girl like people and friend does too survey collect information and student does too 6
participant2 charity help people and project does too panel discuss issue and committee does too 5
participant2 woman drink water and man does too system use method and researcher does too 5
participant2 charity help people and volunteer does too school encourage child and campaign does too 4
participant2 gentleman close eye and employer does too father stretch arm and woman does too 6
participant2 plan increase number and change does too design reduce amount and technology does too 7
participant2 company suffer loss and worker does too firm cause injury and storm does too 4
participant2 agent sell property and owner does too family buy home and father does too 6
participant2 pupil achieve end and school does too student reach level and pupil does too 7
participant2 superpower fight war and army does too force win battle and army does too 6
participant2 team win match and player does too design reduce amount and technique does too 4
participant2 people play game and child does too worker join party and engineer does too 7
participant2 programme face difficulty and country does too parent set example and man does too 4
participant2 survey collect information and student does too page provide datum and website does too 3
participant2 study pose problem and paper does too programme face difficulty and community does too 6
participant2 force win battle and state does too people play game and team does too 7
participant2 member attend conference and delegate does too people share interest and customer does too 4
participant2 wife pour tea and worker does too study emphasise need and statement does too 4
participant2 group hold meeting and company does too man lift hand and wrestler does too 6
participant2 pupil use knowledge and student does too authority exercise influence and court does too 7
participant2 woman ask man and friend does too user send message and system does too 5
participant2 father stretch arm and player does too man wave hand and referee does too 5
participant2 mother leave house and husband does too family buy home and parent does too 3
participant2 case require attention and process does too patient need treatment and family does too 7
participant2 committee consider matter and panel does too panel discuss issue and committee does too 7
participant2 programme offer support and centre does too road cross line and route does too 7
participant2 medication achieve result and programme does too student reach level and pupil does too 4
participant2 pupil achieve end and school does too student reach level and player does too 7
participant2 student acquire skill and child does too family buy home and parent does too 7
participant2 superpower fight war and army does too team win match and player does too 5
participant2 member express view and committee does too pupil achieve end and group does too 4
participant2 group hold meeting and company does too man lift hand and woman does too 6
participant2 pupil achieve end and school does too gentleman close eye and chairman does too 5
participant2 group hold meeting and court does too man lift hand and wrestler does too 5
participant2 plan increase number and development does too design reduce amount and technology does too 5
participant2 design reduce amount and technology does too company cut cost and government does too 3
participant2 force win battle and state does too commodity meet requirement and system does too 6
participant2 agent sell property and owner does too group hold meeting and company does too 7
participant2 study pose problem and paper does too programme face difficulty and country does too 6
participant2 people share interest and organisation does too member express view and committee does too 4
participant2 superpower fight war and country does too plan increase number and development does too 5
participant2 student acquire skill and group does too family buy home and parent does too 1
participant2 company provide system and university does too government use power and people does too 4
participant2 people share interest and customer does too authority exercise influence and state does too 7
participant2 member express view and participant does too company suffer loss and economy does too 1
participant2 question raise head and event does too paper address question and project does too 5
participant2 employee start work and team does too graduate begin career and student does too 7
participant2 girl like people and friend does too plan increase number and change does too 3
participant2 member attend conference and delegate does too group hold meeting and company does too 4
participant2 gentleman close eye and chairman does too father stretch arm and woman does too 5
participant2 programme face difficulty and community does too parent set example and government does too 6
participant2 woman drink water and girl does too system use method and researcher does too 3
participant2 road cross line and route does too route follow road and tour does too 5
participant2 survey collect information and council does too page provide datum and website does too 4
participant2 government use power and people does too authority exercise influence and state does too 4
participant2 pupil use knowledge and student does too company provide system and university does too 4
participant2 author write book and poet does too man hear word and listener does too 4
participant2 mother leave house and father does too school encourage child and parent does too 6
participant2 man lift hand and woman does too question raise head and event does too 6
participant2 researcher develop technique and engineer does too system use method and teacher does too 6
participant2 school encourage child and parent does too employee leave company and student does too 3
participant2 man wave hand and referee does too employee leave company and student does too 6
participant2 pupil achieve end and group does too student reach level and pupil does too 7
participant2 author write book and poet does too man hear word and audience does too 5
participant2 charity help people and volunteer does too panel discuss issue and committee does too 4
participant2 pupil achieve end and group does too gentleman close eye and chairman does too 4
participant2 user send message and system does too family receive letter and applicant does too 6
participant2 father stretch arm and player does too man wave hand and crowd does too 6
participant2 graduate begin career and band does too company suffer loss and worker does too 5
participant2 road cross line and bridge does too route follow road and trail does too 7
participant2 drug produce effect and combination does too employee start work and team does too 3
participant2 government use power and people does too authority exercise influence and court does too 6
participant2 firm cause injury and incident does too question raise head and event does too 5
participant2 writer read word and teacher does too family receive letter and council does too 2
participant2 gentleman close eye and chairman does too father stretch arm and player does too 7
participant2 panel discuss issue and committee does too project present problem and work does too 6
participant2 writer read word and reader does too people remember name and friend does too 5
participant2 doctor use test and study does too physician pass time and child does too 2
participant2 girl like people and woman does too survey collect information and student does too 6
participant2 agent sell property and firm does too group hold meeting and court does too 2
participant2 employee start work and business does too graduate begin career and student does too 5
participant2 page provide datum and section does too student reach level and pupil does too 5
participant2 force win battle and state does too commodity meet requirement and product does too 6
participant2 customer pay price and business does too company cut cost and government does too 7
participant2 wife pour tea and worker does too worker join party and professional does too 4
participant2 route follow road and tour does too parent set example and man does too 6
participant2 patient need treatment and child does too system use method and researcher does too 4
participant2 girl like people and woman does too survey collect information and council does too 4
participant2 wife pour tea and man does too study emphasise need and report does too 7
participant2 drug produce effect and plant does too committee consider matter and board does too 6
participant2 man shut door and police does too page provide datum and section does too 7
participant2 school encourage child and campaign does too employee leave company and visitor does too 6
participant2 writer read word and teacher does too people remember name and friend does too 6
participant2 case require attention and law does too customer pay price and business does too 4
participant2 superpower fight war and army does too plan increase number and change does too 3
participant2 writer read word and teacher does too family receive letter and applicant does too 4
participant2 researcher develop technique and university does too system use method and teacher does too 5
participant2 man wave hand and crowd does too employee start work and team does too 6
participant2 paper address question and project does too study pose problem and question does too 3
participant2 project present problem and work does too programme face difficulty and community does too 6
participant2 case require attention and process does too customer pay price and taxpayer does too 6
participant2 pupil use knowledge and student does too company provide system and centre does too 3
participant2 committee consider matter and board does too panel discuss issue and committee does too 4
participant2 man shut door and activist does too page provide datum and section does too 4
participant2 design reduce amount and technique does too company cut cost and council does too 3
participant2 wife pour tea and man does too worker join party and engineer does too 5
participant2 writer read word and reader does too people remember name and author does too 3
participant2 girl like people and friend does too woman ask man and friend does too 7
participant2 user send message and system does too man hear word and audience does too 5
participant2 report stress importance and official does too study emphasise need and report does too 4
participant2 force win battle and army does too people play game and team does too 2
participant2 force win battle and state does too people play game and child does too 3
participant2 case require attention and process does too patient need treatment and child does too 6
participant2 patient need treatment and family does too programme offer support and site does too 4
participant2 patient need treatment and child does too programme offer support and centre does too 6
participant2 woman ask man and people does too user send message and server does too 4
participant2 pupil achieve end and school does too gentleman close eye and employer does too 4
participant2 agent sell property and firm does too family buy home and parent does too 7
participant2 gentleman close eye and employer does too father stretch arm and player does too 6
participant2 company suffer loss and economy does too firm cause injury and incident does too 6
participant2 woman ask man and people does too father stretch arm and player does too 6
participant2 patient need treatment and child does too system use method and teacher does too 5
